id,type,text1,text2,text3,notes
hii_sajuuk,SHIP,The Makkhar is a behemoth line-breaker warship with wide weapons coverage and a burn drive to force itself through enemy lines and unleash its firepower at nearby vessels.,,,
hii_sajuuk2,SHIP,"The Sajuuk, named after the old God, smites enemies with holy fervor from extreme distances. A siege platform like no other, with a variety of forward weapons options, an advanced targeting array, and a wing of sensor drones to extend it's reach further than any other ship. Unlike most of the Hiigaran fleet, the Sajuuk is relatively vulnerable to attack however.",,,
hii_sajuukkhar,SHIP,"The Pride of Hiigara, The Unbreakable, The Sajuuk-Khar is a massive dreadnaught that strikes fear and awe into the hearts of friend and foe alike. With an unimagineable amount of weaponry, including the Sajuuk-Khar Laser System, this ship turns fleets to ash while their weaponry bounces helplessly off the immense defenses of the Sajuuk-Khar. The blueprints to construct this ship have been lost to time, and coming across one is thankfully a rare occurance.",,,
hii_station_small,SHIP,"This small station is New Hiigara's ultimate mining tool. Lots of cargo room, a flight deck, several defensive weapons, three restaurants and thirteen bars are some of its many features.",,,
hii_station_large,SHIP,"a Hiigaran space station is sometimes send into space where wars are being fought. Three large flightdecks and two shopping malls are onboard. Usually a wing of Tarii is present to guard this monster of a ship.

The shopping malls are great places to visit when the station is not used in wars. Tourists can enjoy many clothing-, computer-, food- and toyshops or can take a walk in a park, enjoying an icecream or hotdog from a good selection of vendors.",,,
,,,,,
hii_pulsar_beam,WEAPON,A powerful and accurate option for both point anti-fighter and anti-ship roles. It's condensed burst form allows it to penetrate armored hulls better than most small weapons.,Assault/Anti-Fighter,,
hii_sustained_ion_beam,WEAPON,"Designed to suppress larger enemy vessels with an unrelenting torrent of hot, ionized particles.",Assault,,
hii_sustained_ion_beam_xl,WEAPON,"A bigger version of the regular sustained ion beam, designed for larger ships.",Assault,,
hii_ion_lance,WEAPON,"An advanced beam weapon that delivers a powerful ion burst at short range. Long cooldown period, but devastating to unshielded ships, and can generate arcs even through shields. Currently only employed on the Kava, mass production is several cycles away.",Strike,,
hii_accelerated_pulsar_beam_sm,WEAPON,"The need for a general-use weapon with better effectiveness against armor than Kinetic Burst Cannons, the Sequenced Pulsar was born.",Assault,,
hii_accelerated_pulsar_beam,WEAPON,"The Heavy Sequenced Pulsar is a simple upscale of the regular Sequenced Pulsar, hits harder, from further away.",Assault,,
hii_flak_cannon,WEAPON,"A wide-coverage point defense weapon that leaves a damaging area where it exploded for a short time, creating a potent screen against missiles and light fighters. Functionally worthless against other ships.",Point Defense,,
hii_kinetic_driver,WEAPON,"The standard Hiigaran point defense and light close combat weapon, equally capable in both roles.",Point Defense,,
hii_chaingun_medium,WEAPON,"With a new need for a weapon that better suits close range pursuit and strike ships appearing in the last decade, a classic was redesigned. Sporting two high-caliber rotary barrels with a modern cooling system, this weapon provides heavy sustained fire for a very low flux cost.",Close Assault,,
hii_chaingun_medium_he,WEAPON,"With a new need for a weapon that better suits close range pursuit and strike ships appearing in the last decade, a classic was redesigned. Sporting two high-caliber rotary barrels with a modern cooling system, this weapon provides heavy sustained fire for a very low flux cost.

Like other main-line Hiigaran ballistic weapons, the Dual Chaingun system was designed to use various projectile types with minimal alterations to the weapon on the production line. This variation fires high explosive rounds.",Close Assault,,
hii_chaingun_large,WEAPON,"Shortly after the Dual Chaingun system was developed, it was upscaled for use on larger mounts. Larger caliber barrels mean less surface area for cooling and a slower firing rate, but the improved damage and penetration was well received by Hiigaran Captains.",Close Assault,,
hii_chaingun_large_he,WEAPON,"Shortly after the Dual Chaingun system was developed, it was upscaled for use on larger mounts. Larger caliber barrels mean less surface area for cooling and a slower firing rate, but the improved damage and penetration was well received by Hiigaran Captains.

Like other main-line Hiigaran ballistic weapons, the Dual Chaingun system was designed to use various projectile types with minimal alterations to the weapon on the production line. This variation fires high explosive rounds.",Close Assault,,
hii_kinetic_burst_cannon,WEAPON,"The standard Hiigaran armament: long ranged and flux-efficient, but poor hitting power, for whittling down their opponents behind heavy Hiigaran defenses. 

While the firing mechanism is a very simple magnetic propulsion system seen in modern Navies everywhere, what makes this weapon unique is it's proprietary cooling module and highly optimized capacitor array that significantly reduces the strain of firing the weapon while simultaneously improving velocity and optimal range over other, similar ballistic weapons. After years of development, the weapon was immediately battle-tested and proven with resounding success, cementing it in it's role as the standardized ship-to-ship weapon of the last two decades.",Assault,,
hii_kinetic_burst_cannon_he,WEAPON,"The standard Hiigaran armament: long ranged and flux-efficient, but poor hitting power, for whittling down their opponents behind heavy Hiigaran defenses.

While the firing mechanism is a very simple magnetic propulsion system seen in modern Navies everywhere, what makes this weapon unique is it's proprietary cooling module and highly optimized capacitor array that significantly reduces the strain of firing the weapon while simultaneously improving velocity and optimal range over other, similar ballistic weapons. After years of development, the weapon was immediately battle-tested and proven with resounding success, cementing it in it's role as the standardized ship-to-ship weapon of the last two decades.

As the primary weapon system of the Hiigaran Navy, the Kinetic Burst Cannon line of weapons were designed to use various projectile types with minimal alterations to the weapon on the production line. This variation fires high explosive rounds.",Assault,,
hii_kinetic_burst_cannon_large,WEAPON,"A simple upscale of the Kinetic Burst Cannon, this has become the standard armament for Hiigaran Capital Ships.",Assault,,
hii_kinetic_burst_cannon_large_he,WEAPON,"A simple upscale of the Kinetic Burst Cannon, this has become the standard armament for Hiigaran Capital Ships.

As the primary weapon system of the Hiigaran Navy, the Kinetic Burst Cannon line of weapons were designed to use various projectile types with minimal alterations to the weapon on the production line. This variation fires high explosive rounds.",Assault,,
hii_single_cannon,WEAPON,"Designed to be used only on the largest of Hiigaran vessels, when the standard Heavy Kinetic Burst Cannon determined to not have enough firepower to be suitable on Hiigaran Capital Ships.",Assault,,
hii_cor_missile_pod,WEAPON,"The Cor ('Wrath') missile is designed to be the perfect follow up ordinance once enemy shields are down, exploiting the enemy's weakness with surety with it's speed, durability, and accuracy. Like all Hiigaran weapons, their missiles are also designed for prolonged fights.",Finisher,,
hii_cor_missile_pod_xl,WEAPON,"The Cor ('Wrath') missile is designed to be the perfect follow up ordinance once enemy shields are down, exploiting the enemy's weakness with surety with it's speed, durability, and accuracy. Like all Hiigaran weapons, their missiles are also designed for prolonged fights.",Finisher,,
hii_tviir_launcher,WEAPON,"Closer to a rocket pod than a missile launcher, the Tviir is a semi-guided, short range missile with potent burst damage capability.  Like all Hiigaran weapons, their missiles are also designed for prolonged fights.",Close Support,,
hii_tviir_frag,WEAPON,This Tviir missile system is loaded up with fragmentation missiles.,Close Support,,
hii_opat_missile_pod,WEAPON,"The Opat Kinetic Strike Missile is a very fast kinetic damage missile that's difficult to shoot down, but it lacks strong turning or tracking ability. ",Strike,,
hii_torpedo_launcher,WEAPON,"Very effective high explosive torpedoes, usually found onboard a Kuun-Lan.",Strike,,
hii_abas_missile_pod,WEAPON,"The Abas Tactical Assault Missile is a long-range assault ordinance that puts constant missile pressure on targets. As Hiigaran battle doctrine regulates, this weapon is designed for prolonged engagements with a built-in autoforge.",Assault,,
hii_abas_missile_pod_xl,WEAPON,"The Abas Tactical Assault Missile is a long-range assault ordinance that puts constant missile pressure on targets. As Hiigaran battle doctrine regulates, this weapon is designed for prolonged engagements with a built-in autoforge. The larger pod is capable of delivering more missiles to the target, faster.",Assault,,
hii_singularity_cannon,WEAPON,"Recent advancements in both Ion and Sequenced Beam technologies have resulted in this behemoth of a weapon, capable of lobbing devastating, unstable bolts of energy over extreme distances. The containment shell around the projectile shatters uniformly on impact, resulting in an instant, catastrophic release of energy that can arc unpredictably, disabling entire ships even through shields. This new technology is not optimized by any means, and the stress on the ships systems from firing this weapon causes immense flux generation.",Assault,,
hii_converted_hull_laser,WEAPON,This gigantic laser cannon appears to have been build out of a Hiigaran ship hull by overzealous and slightly insane pirates. A nightmare for capital ships.,Fire Support,,
hii_skaal_laser_system,WEAPON,"A potent Anti-Capital weapon, capable of long-range suppression.",Fire Support,,
hii_skaal_laser_system_xl,WEAPON,"Only found on the 'Pride of New Hiigara', Sajuuk-Khar. Capable of decimating a ship in a single firing cycle.",Fire Support,,
hii_pulsar_beam_xl,WEAPON,"An upscaled Pulsar Beam with higher damage, better range, but a slower firing rate.",Assault/Anti-Fighter,,
hii_accelerated_pulsar_beam_xs,WEAPON,"A unique Sequenced Pulsar variant only used on the Rathan. A rapid-fire mechanism and a capacitor array allow for short bursts of firepower, however the energy output of the weapon system is far less than it's cousin.",Assault,,
,,,,,
newhiigara,CUSTOM,"An inhospitable and dry planet. The Hiigarans live in massive biospheres that are build near the few lakes on this planet. Sala, the largest city, is easily seen from space. Although friendly, the Hiigarans do like to keep a safe distance from people that have not yet earned their trust.",,,
hii_ocean,CUSTOM,"Unfortunately, Daiamid's absense in land and abundance in violent storms makes the planet uninhabitable. The few present rocky islands are home to research outposts, which study the many varieties of ocean life.",,,
hii_gas_giant,CUSTOM,"The hydrogen, helium and methane presence give Jakuul, meaning 'God', its blue colour. Hiigaran mining stations have been harvesting this gas giant for over a decade.",,,
hii_moon,CUSTOM,"Its name meaning 'Child', Koya is a rather insignificant rock. Several installations have been build on this moon in order to process the harvested gasses from the nearby Jakuul.",,,
hii_volcanic,CUSTOM,"Too close for comfort, poor Maal is constantly being punished by its sun. The planet's sunny side has surface temperatures reaching over a thousand degrees celsius, while Maal's other side has a more appealing temperature of around 65 degrees.",,,
hii_frozen,CUSTOM,This far away cold rock has been found uninteresting by the Hiigarans. Until a short time ago it was completely void of life. Pirates took this opportunity to set up a hidden outpost in one of the planet's deep ridges. Hiigaran patrols have so far been unsuccesful in locating this base.,,,
hii_star,PLANET,"Named 'Laamat', meaning 'light', this class A star has a surface temperature of around 11000 degrees celsius.",,,
,,,,,
hii_halcyon,PLANET,This class K yellow orange star burns with a heat intensity of about 5000 degrees celsius.,,,
hii_halcyon1,PLANET,A variety of large insect-like creatures inhabit this planet and struggle daily to make a living in the harsh dry weather conditions of this planet.,,,
hii_halcyon2,PLANET,"With temperatures of around 26 degrees celsius around the equator, this planet provides a nice climate for farming. The Hegemony currently waves the scepter here and exploits the planet's fertile soil to produce massive amounts of food.",,,
hii_halcyon3,PLANET,"A strange sight, the lower part of this planet's surface has salt-rich deserts while the upper half is mostly covered with rock formations and mountain ranges. The Hiigarans have secretly build a small outpost here, in order to keep an eye on the Hegemony.",,,
hii_halcyon4,PLANET,"This beautiful blue gas giant has useful resources, but they're scarce and exploitation would give an entrepreneur more costs and trouble than its worth. It's photographed regularly by passing tourists.",,,
hii_halcyon5,PLANET,Halcyon II's moon is fairly rich in metals and is being mined by several corporations that are contracted by the Hegemony.,,,
hii_halcyon6,PLANET,"One of two of Halcyon IV's frozen twins, this moon is largely left alone, as there is nothing to see here but cold, harsh weather.",,,
hii_halcyon7,PLANET,Halcyon IV's other twin sees more activity. Pirates have a small base here in order to prey on the many cargo fleets that approach and leave Halcyon II and its moon.,,,
,,,,,
hii_solitude,PLANET,This old class M red star burns with a heat intensity of about 3300 degrees celsius.,,,
hii_solitude1,PLANET,A safehaven for the many miners in this system. Many small settlements have been build around the planet's lakes and Solitude I's population continues to grow.,,,
hii_solitude2,PLANET,"This planet is being mined for the many metals found underneath its soil. The water here has been found to be very poisonous for humans, but many forms of unknown bacteria flourish in the metal rich waters.",,,
,,,,,
hii_drone_pd_small,SHIP_SYSTEM,"A downsized standard drone bay featuring 4 small drones carrying small kinetic drivers for point defense. The command-control system is also downgraded, leaving the drones unable to move far from their host ship.",Drones (kinetic),,
hii_drone_pd_kinetic,SHIP_SYSTEM,"The Hiigaran standard drone launch bay features nine drones carrying small kinetic drivers. Very basic, but few ships have the room to carry Hiigaran pulsar drones.",Drones (kinetic),,
hii_drone_pd_pulsar,SHIP_SYSTEM,"This drone launch bay features nine drones, all carrying a full-sized Pulsar Beam. Usually only capital ships are seen with these, due to the size of the system's chassis.",Drones (pulsar),,
hii_drone_sensor,SHIP_SYSTEM,Launches up to 2 fragile sensor drones armed with long ranged Micro Sequenced Pulsars that closely follow the ship. Each drone increases the ship's weapon range by 15%.,Drones (pulsar),,
hii_drone_sensor_wing,SHIP_SYSTEM,Launches up to 4 fragile sensor drones armed with long ranged Micro Sequenced Pulsars that closely follow the ship. Each drone increases the ship's weapon range by 15%.,Drones (pulsar),,
hii_drone_pd_fighter,SHIP_SYSTEM,"The Hiigaran Faal-Corum has its own state of the art drone system, featuring fifteen small drones each armed with a downscaled Pulsar Beam. Generates flux while active.",Drones (attack, pulsar),
hii_drone_bomber_wing,SHIP_SYSTEM,The Wodaan has perfected carrier to fighter communications and can have two wings of its stationed bombers out in the field at long distances. Destroyed bombers are replaced after battle.,Bomber Wing,,
hii_drone_interceptor_wing,SHIP_SYSTEM,Hiigaran space stations don't carry drone systems but instead choose to have fighters onboard due to their long range.,Interceptor Wing,,
hii_rook_defense,SHIP_SYSTEM,"A powerful defensive system integrated into every subsystem on the ship that gives it a second wind when under heavy sustained fire. Increases flux dissipation by 75%, shield unfold rate  by 300%, reduces all damage taken by 40%, and causes hard flux to dissipate like soft flux. However, it reduces fire rate of all weapons by 50%. Lasts 15 seconds.",Oasis Respite System,,
hiigaran_badge_of_friendship,RESOURCE,Pinning this badge on your chest makes the Hiigarans recognize you as a friend.,,,
hiigaran_badge_of_allegiance,RESOURCE,Pin this badge on your chest and the Hiigarans will declare you to be an ally.,,,
hiigaran_badge_of_admiralty,RESOURCE,Pin this badge on your chest and the Hiigaran people will promote you to a high captain within their fleet.,,,
,,,,,
,,,,,
hii_blaze,SHIP,"Specialized Tarii interceptors armed with harder hitting Light Assault Cannons for hunting larger prey, such as frigates and destroyers. Heavier armor plating and a more durable frame slow the Blaze down,  however.",,,
hii_black_swan,SHIP,"Nicknamed 'The Black Swan' by pirates, this old decommissioned Hiigaran battlecruiser is simply a platform for the Jury-Rigged Super-Heavy Laser.",,,
hii_goliath,SHIP,"The Goliath is a chip-bash contruction by pirates, using parts of Hiigaran battlecruisers to design something that fits their needs. Stuffed full of heavy mounts, but the construction and design makes this ship more fragile than it should be.",,,
hiigaran_descendants,FACTION,Descendants from a planet called 'Hiigara'. The Hiigarans made it to this part of the universe long ago, during the Great Exile.,,
